
Results:
 With dx = 0.05, T(x) = 100 at x = 4.4 upto one decimal place.

Comments:
Further refinement is possible with dx < 0.05

    x      T(x)
-------  --------
0.0000   40.0000
0.0500   40.6351
0.1000   41.2706
0.1500   41.9067
0.2000   42.5433
0.2500   43.1805
0.3000   43.8183
0.3500   44.4567
0.4000   45.0957
0.4500   45.7353
0.5000   46.3755
0.5500   47.0164
0.6000   47.6580
0.6500   48.3003
0.7000   48.9432
0.7500   49.5869
0.8000   50.2313
0.8500   50.8765
0.9000   51.5225
0.9500   52.1692
1.0000   52.8167
1.0500   53.4651
1.1000   54.1143
1.1500   54.7643
1.2000   55.4152
1.2500   56.0670
1.3000   56.7197
1.3500   57.3733
1.4000   58.0278
1.4500   58.6833
1.5000   59.3397
1.5500   59.9971
1.6000   60.6556
1.6500   61.3150
1.7000   61.9755
1.7500   62.6370
1.8000   63.2995
1.8500   63.9632
1.9000   64.6279
1.9500   65.2938
2.0000   65.9608
2.0500   66.6289
2.1000   67.2982
2.1500   67.9687
2.2000   68.6404
2.2500   69.3133
2.3000   69.9874
2.3500   70.6628
2.4000   71.3394
2.4500   72.0173
2.5000   72.6965
2.5500   73.3771
2.6000   74.0589
2.6500   74.7421
2.7000   75.4267
2.7500   76.1126
2.8000   76.8000
2.8500   77.4888
2.9000   78.1790
2.9500   78.8706
3.0000   79.5638
3.0500   80.2584
3.1000   80.9545
3.1500   81.6521
3.2000   82.3513
3.2500   83.0520
3.3000   83.7543
3.3500   84.4582
3.4000   85.1637
3.4500   85.8709
3.5000   86.5796
3.5500   87.2901
3.6000   88.0022
3.6500   88.7160
3.7000   89.4315
3.7500   90.1488
3.8000   90.8678
3.8500   91.5886
3.9000   92.3111
3.9500   93.0355
4.0000   93.7617
4.0500   94.4897
4.1000   95.2196
4.1500   95.9514
4.2000   96.6851
4.2500   97.4206
4.3000   98.1582
4.3500   98.8976
4.4000   99.6390
4.4500  100.3825
4.5000  101.1279
4.5500  101.8753
4.6000  102.6248
4.6500  103.3764
4.7000  104.1300
4.7500  104.8858
4.8000  105.6436
4.8500  106.4036
4.9000  107.1658
4.9500  107.9301
5.0000  108.6966
5.0500  109.4654
5.1000  110.2364
5.1500  111.0096
5.2000  111.7851
5.2500  112.5629
5.3000  113.3430
5.3500  114.1254
5.4000  114.9102
5.4500  115.6973
5.5000  116.4869
5.5500  117.2788
5.6000  118.0732
5.6500  118.8700
5.7000  119.6693
5.7500  120.4711
5.8000  121.2754
5.8500  122.0822
5.9000  122.8916
5.9500  123.7035
6.0000  124.5180
6.0500  125.3352
6.1000  126.1549
6.1500  126.9773
6.2000  127.8024
6.2500  128.6302
6.3000  129.4607
6.3500  130.2939
6.4000  131.1299
6.4500  131.9687
6.5000  132.8102
6.5500  133.6546
6.6000  134.5018
6.6500  135.3518
6.7000  136.2048
6.7500  137.0606
6.8000  137.9194
6.8500  138.7811
6.9000  139.6458
6.9500  140.5134
7.0000  141.3841
7.0500  142.2578
7.1000  143.1346
7.1500  144.0144
7.2000  144.8973
7.2500  145.7834
7.3000  146.6726
7.3500  147.5649
7.4000  148.4604
7.4500  149.3592
7.5000  150.2612
7.5500  151.1664
7.6000  152.0749
7.6500  152.9867
7.7000  153.9018
7.7500  154.8203
7.8000  155.7421
7.8500  156.6673
7.9000  157.5960
7.9500  158.5280
8.0000  159.4636
8.0500  160.4026
8.1000  161.3451
8.1500  162.2912
8.2000  163.2408
8.2500  164.1939
8.3000  165.1507
8.3500  166.1111
8.4000  167.0752
8.4500  168.0429
8.5000  169.0143
8.5500  169.9895
8.6000  170.9684
8.6500  171.9510
8.7000  172.9375
8.7500  173.9277
8.8000  174.9219
8.8500  175.9199
8.9000  176.9217
8.9500  177.9275
9.0000  178.9373
9.0500  179.9510
9.1000  180.9687
9.1500  181.9904
9.2000  183.0162
9.2500  184.0460
9.3000  185.0800
9.3500  186.1181
9.4000  187.1603
9.4500  188.2067
9.5000  189.2572
9.5500  190.3121
9.6000  191.3711
9.6500  192.4345
9.7000  193.5021
9.7500  194.5741
9.8000  195.6505
9.8500  196.7312
9.9000  197.8164
9.9500  198.9059
10.0000  200.0000
